num,num2,time,x_data,y_data,z_data,name
0,1,1615487073272,-0.433,2.892,9.23,accelerometer
0,2,1615487073273,-0.433,2.91,9.196,accelerometer
1,3,1615487073276,-0.424,2.901,9.168,accelerometer
2,4,1615487073278,-0.424,2.915,9.157,accelerometer
3,5,1615487073282,-0.41,2.915,9.148,accelerometer
4,6,1615487073283,-0.41,2.925,9.143,accelerometer
5,7,1615487073286,-0.4,2.92,9.143,accelerometer
6,8,1615487073287,-0.405,2.915,9.138,accelerometer
7,9,1615487073291,-0.41,2.92,9.153,accelerometer
8,10,1615487073293,-0.419,2.929,9.153,accelerometer
9,11,1615487073295,-0.41,2.939,9.162,accelerometer
10,12,1615487073298,-0.386,2.953,9.191,accelerometer
11,13,1615487073301,-0.4,2.958,9.196,accelerometer
12,14,1615487073302,-0.41,2.963,9.215,accelerometer
13,15,1615487073305,-0.424,2.982,9.214,accelerometer
14,16,1615487073308,-0.415,2.987,9.262,accelerometer
15,17,1615487073309,-0.405,2.978,9.276,accelerometer
16,18,1615487073312,-0.424,2.983,9.32,accelerometer
17,19,1615487073314,-0.415,2.983,9.339,accelerometer
18,20,1615487073317,-0.419,2.983,9.349,accelerometer
19,21,1615487073318,-0.419,2.964,9.377,accelerometer
20,22,1615487073322,-0.419,2.969,9.349,accelerometer
21,23,1615487073323,-0.405,2.974,9.358,accelerometer
22,24,1615487073326,-0.4,2.931,9.378,accelerometer
23,25,1615487073329,-0.395,2.893,9.349,accelerometer
24,26,1615487073330,-0.395,2.893,9.345,accelerometer
25,27,1615487073333,-0.399,2.869,9.331,accelerometer
26,28,1615487073336,-0.413,2.855,9.321,accelerometer
27,29,1615487073337,-0.409,2.827,9.336,accelerometer
28,30,1615487073341,-0.403,2.793,9.317,accelerometer
29,31,1615487073343,-0.413,2.793,9.303,accelerometer
30,32,1615487073345,-0.408,2.764,9.303,accelerometer
31,33,1615487073349,-0.408,2.769,9.284,accelerometer
32,34,1615487073350,-0.413,2.745,9.275,accelerometer
33,35,1615487073353,-0.398,2.736,9.279,accelerometer
34,36,1615487073354,-0.398,2.726,9.241,accelerometer
35,37,1615487073357,-0.394,2.716,9.241,accelerometer
36,38,1615487073359,-0.394,2.702,9.236,accelerometer
37,39,1615487073362,-0.389,2.703,9.251,accelerometer
38,40,1615487073364,-0.379,2.688,9.232,accelerometer
39,41,1615487073367,-0.355,2.664,9.237,accelerometer
40,42,1615487073369,-0.355,2.684,9.255,accelerometer
