num,time,x_data,y_data,z_data,name
1,1615480226961,-0.179,2.39,9.007,accelerometer
2,1615480226980,-0.81,2.314,9.378,accelerometer
3,1615480226999,-0.579,2.139,9.844,accelerometer
4,1615480227019,-0.071,2.104,9.955,accelerometer
5,1615480227038,0.355,2.151,9.536,accelerometer
6,1615480227055,0.496,2.267,9.194,accelerometer
7,1615480227075,0.523,2.379,8.943,accelerometer
8,1615480227094,0.419,2.441,9.077,accelerometer
9,1615480227113,0.101,2.395,9.404,accelerometer
10,1615480227132,-0.468,2.468,9.894,accelerometer
11,1615480227151,-0.382,2.429,9.793,accelerometer
12,1615480227171,0.05,2.301,9.501,accelerometer
13,1615480227189,0.425,2.262,9.261,accelerometer
14,1615480227209,0.519,2.328,9.107,accelerometer
15,1615480227227,0.477,2.252,9.05,accelerometer
16,1615480227249,0.272,2.24,8.902,accelerometer
17,1615480227265,0.09,2.399,8.838,accelerometer
18,1615480227284,0.176,2.429,8.929,accelerometer
19,1615480227304,0.563,2.225,9.276,accelerometer
20,1615480227322,0.836,1.945,9.633,accelerometer
21,1615480227341,0.933,1.762,9.745,accelerometer
22,1615480227360,0.601,1.799,9.788,accelerometer
23,1615480227379,-0.01,2.046,9.71,accelerometer
24,1615480227398,-0.061,1.887,9.486,accelerometer
25,1615480227417,0.473,1.591,9.474,accelerometer
26,1615480227436,0.669,1.538,9.786,accelerometer
27,1615480227458,0.738,1.736,9.592,accelerometer
28,1615480227475,0.858,1.657,9.737,accelerometer
29,1615480227495,0.924,1.644,9.896,accelerometer
30,1615480227517,1.115,1.634,10.188,accelerometer
31,1615480227531,1.139,1.642,10.509,accelerometer
32,1615480227553,1.012,1.613,10.543,accelerometer
33,1615480227569,0.887,1.656,10.131,accelerometer
34,1615480227593,0.975,1.794,9.591,accelerometer
35,1615480227608,1.12,2.026,9.411,accelerometer
36,1615480227627,0.987,2.06,9.608,accelerometer
37,1615480227646,0.438,1.987,10.291,accelerometer
38,1615480227665,0.083,1.982,10.478,accelerometer
39,1615480227686,0.191,2.017,10.598,accelerometer
40,1615480227707,0.693,2.164,10.293,accelerometer
41,1615480227722,1.573,2.358,9.105,accelerometer
42,1615480227745,1.985,1.731,8.867,accelerometer
43,1615480227764,2.163,2.822,9.713,accelerometer
44,1615480227779,2.016,3.397,9.285,accelerometer
45,1615480227803,2.125,1.417,6.48,accelerometer
46,1615480227817,3.067,-1.07,7.085,accelerometer
47,1615480227840,4.159,-0.029,11.352,accelerometer
48,1615480227858,2.341,1.492,13.171,accelerometer
49,1615480227874,-0.997,0.122,11.733,accelerometer
50,1615480227896,-1.241,-1.241,10.202,accelerometer
51,1615480227915,0.614,-1.448,6.172,accelerometer
52,1615480227934,4.016,-1.836,11.615,accelerometer
53,1615480227954,4.312,-0.135,9.568,accelerometer
54,1615480227971,2.682,0.089,4.21,accelerometer
55,1615480227991,-3.618,2.017,9.132,accelerometer
56,1615480228010,-3.433,1.911,11.075,accelerometer
57,1615480228026,0.025,0.656,9.772,accelerometer
58,1615480228048,2.344,1.367,8.807,accelerometer
59,1615480228068,3.85,1.278,9.141,accelerometer
60,1615480228085,3.966,1.612,9.138,accelerometer
61,1615480228106,3.641,1.607,8.241,accelerometer
62,1615480228124,1.937,1.629,8.071,accelerometer
63,1615480228143,0.781,1.533,11.206,accelerometer
64,1615480228162,1.826,0.668,13.228,accelerometer
65,1615480228179,3.07,0.61,13.314,accelerometer
66,1615480228201,4.583,1.367,11.102,accelerometer
67,1615480228219,3.739,1.688,7.156,accelerometer
68,1615480228234,0.421,2.021,6.175,accelerometer
69,1615480228257,-0.782,1.885,9.656,accelerometer
70,1615480228276,-0.092,1.546,11.678,accelerometer
71,1615480228296,-0.188,1.537,11.28,accelerometer
72,1615480228314,0.389,1.426,9.639,accelerometer
73,1615480228329,2.033,1.523,8.341,accelerometer
74,1615480228348,2.052,1.628,8.445,accelerometer
75,1615480228367,1.013,1.714,9.117,accelerometer
76,1615480228387,0.33,1.729,9.684,accelerometer
77,1615480228406,0.818,1.716,9.391,accelerometer
78,1615480228424,1.108,1.674,9.352,accelerometer
79,1615480228446,1.898,1.606,9.745,accelerometer
80,1615480228467,2.054,1.673,9.701,accelerometer
81,1615480228482,1.25,1.774,9.251,accelerometer
82,1615480228501,0.966,1.764,9.448,accelerometer
83,1615480228523,1.284,1.789,9.951,accelerometer
84,1615480228543,1.9,1.844,9.882,accelerometer
85,1615480228558,2.591,1.932,8.671,accelerometer
86,1615480228579,1.895,2.042,7.567,accelerometer
87,1615480228597,1.223,1.982,8.692,accelerometer
88,1615480228614,1.193,1.743,9.635,accelerometer
89,1615480228636,1.561,1.688,10.024,accelerometer
90,1615480228653,1.813,1.646,10.038,accelerometer
91,1615480228674,1.732,1.548,9.765,accelerometer
92,1615480228690,1.756,1.613,10.125,accelerometer
93,1615480228710,1.713,1.71,10.335,accelerometer
